"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"226","2019","Massachusetts",3,464.349,6892503,99900,27336,20202,7134,1148525,32.1,2210,9.5
"227","2019","Michigan",4.1,442.032,9986857,73030,250487,146435,104052,1967316,24.4,2385,12.9
"228","2019","Minnesota",3.3,456.621,5639632,92740,225163,206232,18930,928450,14.2,792,8.9
"229","2019","Mississippi",5.5,402.128,2976149,51010,125438,121531,3907,601355,13.6,394,19.5
"230","2019","Missouri",3.2,428.113,6137428,69020,180540,178040,2501,1270622,26.9,1583,12.9
"231","2019","Montana",3.5,442.941,1068778,68560,380831,376962,3869,208541,14.1,143,12.6
"232","2019","Nebraska",3.1,461.825,1934408,83230,200330,198974,1356,326594,8.7,161,9.9
"233","2019","Nevada",4.1,485.517,3080156,80760,286380,284332,2048,574254,20.1,647,12.7
"234","2019","New Hampshire",2.6,448.591,1359711,98980,24214,23187,1027,263321,32,407,7.5
"235","2019","New Jersey",3.5,432.833,8882190,99920,22591,19047,3544,1670942,31.7,2805,9.1
"236","2019","New Mexico",5,431.719,2096829,60500,314917,314161,757,371338,30.2,599,17.5
"237","2019","New York",3.9,451.979,19453561,81840,141297,122057,19240,3541274,18.2,3617,13.1
"238","2019","North Carolina",3.9,460.876,10488084,69660,139391,125920,13471,1791532,22.3,2266,13.6
"239","2019","North Dakota",2.2,435.135,762062,79760,183108,178711,4397,130842,11.4,82,10.5
"240","2019","Ohio",4.2,449.483,11689100,73650,116098,105829,10269,2634997,38.3,4251,13
"241","2019","Oklahoma",3.1,460.128,3956971,67650,181037,177660,3377,812102,16.7,645,15.1
"242","2019","Oregon",3.7,503.034,4217737,84760,254799,248608,6191,659085,14,615,11.5
"243","2019","Pennsylvania",4.3,441.445,12801989,80390,119280,115883,3397,3106571,35.6,4377,12
"244","2019","Rhode Island",3.5,414.179,1059361,79900,4001,2678,1324,208387,29.5,307,11.6
"245","2019","South Carolina",2.8,480.216,5148714,70650,82933,77857,5076,1003177,22.7,1127,13.9
"246","2019","South Dakota",2.8,425.048,884659,73190,199729,196350,3379,173079,10.5,86,11.9
"247","2019","Tennessee",3.3,462.632,6829174,64500,109153,106798,2355,1472003,31.2,2089,13.8
"248","2019","Texas",3.5,500.931,28995881,76820,695662,676587,19075,4525099,10.8,3136,13.6
"249","2019","Utah",2.5,531.341,3205958,96270,219882,212818,7064,416545,18.9,571,8.8
"250","2019","Vermont",2.1,409.567,623989,84630,24906,23871,1035,126832,23.8,133,10.1
"251","2019","Virginia",2.8,438.77,8535519,92610,110787,102279,8508,1383769,18.3,1547,9.9
"252","2019","Washington",4.2,532.444,7614893,93910,184661,172119,12542,1122330,15.8,1259,9.8
"253","2019","West Virginia",5,413.147,1792147,61170,62756,62259,497,519091,52.8,870,16.2
"254","2019","Wisconsin",3.2,438.341,5822434,76720,169635,140268,29367,1211981,21.1,1201,10.4
"255","2019","Wyoming",3.7,395.792,578759,74190,253335,251470,1864,113535,14.1,79,9.9
"256","2020","Alabama",6.4,422.479,5031362,61650,135767,131171,4597,1014342,22.3,1029,14.9
"257","2020","Alaska",8.3,347.989,732923,84260,1723337,1477953,245383,137486,22,160,9.6
"258","2020","Arizona",7.8,482.136,7179943,75620,295234,294207,1026,1151988,35.8,2550,12.8
"259","2020","Arkansas",6.2,432.356,3014195,57240,137732,134771,2961,686812,19.1,546,15.2
"260","2020","California",10.1,504.894,39501653,87530,423967,403466,20501,5431385,21.8,8908,11.5
"261","2020","Colorado",6.8,510.572,5784865,94440,269601,268431,1170,827081,24.9,1492,9
"262","2020","Connecticut",7.9,390.574,3597362,89540,14357,12542,1816,655381,39.1,1371,9.7
"263","2020","Delaware",7.5,399.533,992114,78930,6446,5047,1399,210998,47.3,444,10.9
"264","2020","District of Columbia",7.9,436.835,670868,99440,177,158,19,83347,NA,NA,15
"265","2020","Florida",8.1,488.174,21589602,65110,170312,138887,31424,4308542,35,7231,12.4
"266","2020","Georgia",6.5,480.266,10729828,66810,153910,148959,4951,1925374,18,1916,14
"267","2020","Hawaii",11.7,390.009,1451043,91110,28313,16635,11678,272031,18.3,274,8.9
